model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,0.13779773483655766,0.15685376027854964,1.388145002437112,0.6484516709649689,0.659838724120639,20241119-224650,results_11.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,diff,0.11936810983860256,0.1532356003596183,1.3579611140227528,0.6409099863887099,0.6516286087828641,20241120-123154,results_15.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,8,max,0.1270046700061607,0.1445676680017687,1.2976443486685645,0.6351657644709506,0.644212067483344,20241119-210944,results_22.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,add,0.15977386279439193,0.1416917669624309,1.3583976593954619,0.6341603983093345,0.6605630775843542,20241121-074330,results_34.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,0.12307789526158981,0.29196945114640577,1.2731741001900239,0.6332126674546887,0.6489300809513575,20241119-212737,results_57.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,max,0.13035292916377134,0.14243803975390434,1.3090519522523902,0.6260632701124721,0.6546011533777492,20241119-202507,results_8.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,diff,0.11718100837851196,0.13746351523747563,1.2816257599411132,0.6207002762554624,0.6420338133104091,20241120-021120,results_70.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,max,0.21673869420429034,0.12992471975617947,1.35286779303182,0.619593653735941,0.6722243713733075,20241120-120153,results_10.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,0.1169880756015332,0.24982040831111843,1.1265056366075645,0.6161234015688803,0.628917723332617,20241119-202220,results_2.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,max,0.12780590391773428,0.26402245642984484,1.2168318928422737,0.6143332706497601,0.627760763665019,20241119-202255,results_24.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,add,0.1266111542519593,0.25849382853334196,1.1810751127223964,0.6137592234400745,0.6155878823697973,20241120-150402,results_7.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,add,0.12898694809061387,0.13598117847660823,1.281164955396616,0.6134099416147288,0.6239939286481839,20241120-154725,results_28.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,8,diff,0.21509257115585356,0.12416306071841894,1.3457579043122079,0.6116416156243284,0.6587678200444157,20241121-031842,results_30.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,diff,0.18889714984280506,0.12461494963643921,1.334318446155758,0.6106546291818898,0.6625514900780859,20241120-174930,results_60.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,max,0.21533349812178995,0.23791779130343585,1.2464729752404207,0.6084156950712801,0.6549282720825275,20241120-041948,results_29.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,diff,0.11820626539762585,0.25658152816450025,1.16684295762849,0.6055748307543521,0.6209407013396375,20241120-015354,results_46.jsonl
